Sim,F_true,F_est,Nu0_true,Nu0_est,T_true,T_est,NuF_true,NuF_est,Theta,Loglik
1,0.5,0.6035097426060803,0.25,0.22380250340688587,0.2,0.18511241203542367,1.0,1.3324414860312774,6087.072714909051,-256.2966391867657
2,0.5,0.6594476998872713,0.25,0.20456536586718518,0.2,0.3360268468081939,1.0,1.0120998948329163,7103.753040486028,-283.69218996922683
3,0.5,0.2749632534709259,0.25,0.09001327720112871,0.2,0.31366655736871535,1.0,0.45895112657136833,12859.22859503243,-287.5523325224109
4,0.5,0.4621615822015133,0.25,0.2115072998612943,0.2,0.1847826228849956,1.0,1.3395939772378243,5894.949897085364,-250.43722224269777
5,0.5,0.475440910268094,0.25,0.19179975865397114,0.2,0.3592757268329544,1.0,0.6697567599906287,8343.177886297493,-354.1744086092343
6,0.5,0.35573403268348935,0.25,0.2208367156817236,0.2,0.3631383961200846,1.0,0.7582032120517374,7167.421584893696,-301.2018107656361
7,0.5,0.5389407331273722,0.25,0.21026249924392476,0.2,0.3096224714733393,1.0,1.2541521484865208,6140.0832169846035,-350.97772469234417
8,0.5,0.4642581866009392,0.25,0.13687311318753426,0.2,0.4029586706316063,1.0,0.5049988911819113,10596.62317060068,-279.0665460298543
9,0.5,0.5266425205974868,0.25,0.17646595507980883,0.2,0.361593506608526,1.0,0.9014312160194621,7239.402753910611,-395.44367194870296
10,0.5,0.5174839853966747,0.25,0.3872887527560952,0.2,0.3405143019200381,1.0,0.7814921049580402,6356.741841833269,-300.9358522329477
11,0.5,0.25554459012518793,0.25,0.1237664822083195,0.2,0.37501385265540205,1.0,0.4303091530942843,12067.982565713703,-349.64785535167937
12,0.5,0.37516669913945583,0.25,0.2912063068786742,0.2,0.31454863976308706,1.0,0.9836291706701169,6114.637463473508,-301.13549921494325
13,0.5,0.346427705136585,0.25,0.1638804454600332,0.2,0.4589294123091459,1.0,0.4281867918257352,12446.60001353082,-334.52197009813466
14,0.5,0.4373265683196708,0.25,0.1494511942086202,0.2,0.24090800652147965,1.0,1.2882572859261703,6848.594084306758,-308.67735540095396
15,0.5,0.4614477899744957,0.25,0.2351862541667225,0.2,0.5009619565427411,1.0,0.5510624489790544,8951.99654408294,-280.83872186301676
16,0.5,0.6915122260433091,0.25,0.15866742720121277,0.2,0.2841428164855152,1.0,1.2815669968155299,6612.0307073658905,-285.04880631878785
17,0.5,0.45622771340105794,0.25,0.1670608609050869,0.2,0.34568386758305997,1.0,0.8756585267144569,7578.150141528933,-286.28534595082266
18,0.5,0.49417082555964303,0.25,0.16549649503457511,0.2,0.39907988295642,1.0,0.6861793119277282,8809.569564180689,-268.5617800177322
19,0.5,0.646948279051134,0.25,0.20351723638092925,0.2,0.40315354297226835,1.0,0.6964145330180413,8564.858098377345,-288.27970299970787
20,0.5,0.3138523751780882,0.25,0.3157289013077859,0.2,0.4128685684319311,1.0,0.773414268304774,6881.586237986235,-267.7650979582826
