Sim,F_true,F_est,Nu2_true,Nu2_est,T_true,T_est,M21_true,M21_est,Theta,Loglik
1,0.1,0.06331040025547245,0.25,0.1980454965643588,0.2,0.2421553633230266,1.0,2.212862005785152,9727.25131162489,-7226.070651518196
2,0.1,0.14894089707931107,0.25,0.25227036734765784,0.2,0.2224810885906402,1.0,1.2781223827225108,9464.60976957246,-7054.637373025651
3,0.1,0.10095652159445279,0.25,0.24919639715285566,0.2,0.21733567408161283,1.0,0.20450677382975804,9190.266646893693,-6643.954477418416
4,0.1,0.05331569412456646,0.25,0.2327225434844388,0.2,0.22126931299904448,1.0,0.92593100645926,9561.127914034465,-7069.815837512953
5,0.1,0.15914633365267603,0.25,0.22844920316443645,0.2,0.19322262898497158,1.0,0.7277090067694337,9695.029892026985,-6783.778996966651
6,0.1,0.07341744451446856,0.25,0.22369858343422663,0.2,0.20291764687486255,1.0,0.3250907722854717,9530.721246619842,-6795.691842047651
7,0.1,0.16637901785919357,0.25,0.23267570433505685,0.2,0.2142602519232514,1.0,1.4698116223998288,9512.348316416916,-7054.41245267202
8,0.1,0.1170523391160099,0.25,0.2592501780592836,0.2,0.1880644262909679,1.0,0.4471831582196276,9342.156590027053,-6843.643473436097
9,0.1,0.05316604103961815,0.25,0.2354000942281405,0.2,0.23807923471697984,1.0,1.3483925358380642,9393.369482469056,-7064.754244495374
10,0.1,0.4996778161476473,0.25,0.22783706550796337,0.2,0.20532896616640053,1.0,0.7736786709634903,9437.360355166365,-6903.177771799599
11,0.1,0.2011172491007196,0.25,0.25185758705645994,0.2,0.19145507355282051,1.0,1.3219892229677963,9390.571496299577,-7306.185506699933
12,0.1,0.16997021314815025,0.25,0.2614701921979699,0.2,0.18476512365648326,1.0,0.6236574633424744,9350.928437007156,-7003.314771761594
13,0.1,0.21274344101653986,0.25,0.24248063363393174,0.2,0.20361724180660506,1.0,0.6879618475150898,9542.539871993655,-7096.88507132944
14,0.1,0.24638686343956276,0.25,0.2367403305961836,0.2,0.2161953857563988,1.0,0.4927082275280213,9642.336400334303,-6862.399691913761
15,0.1,0.06577035531714129,0.25,0.23412258914398604,0.2,0.21822508214391814,1.0,0.7381150938012287,9397.343512773257,-6909.974443315582
16,0.1,0.18745467750267691,0.25,0.20387603225767828,0.2,0.22946304775581136,1.0,1.1986952373275472,9591.912946236675,-6895.6931197264785
17,0.1,0.06767141704651235,0.25,0.2129250023618738,0.2,0.20798734193564505,1.0,1.0898122576827676,9761.676613956342,-6870.031155272905
18,0.1,0.14154416738615455,0.25,0.24281783871344237,0.2,0.20175331652063497,1.0,0.531447832553774,9486.968208439446,-7135.57715340232
19,0.1,0.17063256904650675,0.25,0.23111009965717735,0.2,0.20833004142092962,1.0,0.9753068824910757,9509.612873920816,-7083.956775774106
20,0.1,0.19157086806090817,0.25,0.24477066311194204,0.2,0.2013173627852239,1.0,0.569448253424707,9449.032652766367,-6994.247812968545
