Sim,F_true,F_est,Theta,Loglik
1,0.75,0.79491912,5701.701842648066,-450.43323292677286
2,0.75,0.81032902,5625.008824762699,-358.02431844834587
3,0.75,0.7820843,5988.626009743854,-398.80890814524747
4,0.75,0.80218802,5243.143876004863,-457.7147660242364
5,0.75,0.61635747,5561.287210836598,-409.72905119892175
6,0.75,0.55217791,5522.203961156878,-397.25872115908555
7,0.75,0.80130049,5803.947175755843,-345.9026702443742
8,0.75,0.76963209,5389.480244429206,-447.78600035483015
9,0.75,0.78765945,5439.983332634187,-387.7871836929988
10,0.75,0.67837758,5856.11344410708,-364.8268107316782
11,0.75,0.63414483,5978.741987685561,-414.07884767090667
12,0.75,0.77935554,5599.083113582229,-338.7388934119181
13,0.75,0.64661343,5578.882964165437,-331.6804228789183
14,0.75,0.58226349,5684.506413335523,-435.09302809655594
15,0.75,0.73150619,5586.179190721919,-310.9568031597915
16,0.75,0.72682374,5251.220273953246,-318.7270861357105
17,0.75,0.67341168,5445.904903396877,-472.3383570180563
18,0.75,0.67413441,5771.848584491202,-341.62991872698757
19,0.75,0.83649972,5591.462994176407,-500.2490630168305
20,0.75,0.64938915,5632.005251824837,-450.3438803786247
