F_true,Sim,F_est,Theta,Loglik
0.9,1,0.9021138938912823,10018.469251216855,-206.90534489124798
0.9,2,0.898484650767951,10098.229829970518,-208.40645400016382
0.9,3,0.9002378714511414,9981.206318317745,-212.26962775343594
0.9,4,0.9001228154020197,10017.113821871388,-209.80678491699678
0.9,5,0.9010243276248144,10062.671495775565,-212.45873571932168
0.9,6,0.8989195840357249,9978.359543000406,-211.0576562496343
0.9,7,0.901253243392792,9991.356310535975,-209.80331075418223
0.9,8,0.8996127816247945,10124.94754481678,-212.88432660009346
0.9,9,0.8980875405900284,10008.172811250297,-211.83382625904574
0.9,10,0.897082678855942,10034.468618423853,-211.43227398528694
0.9,11,0.898546795032431,9984.19883819542,-211.81066271952682
0.9,12,0.900149539785089,10032.423888784644,-208.2730707942152
0.9,13,0.898881378634368,10091.940889057749,-209.57450157015364
0.9,14,0.9002968786670521,10062.750911143548,-209.4991010914294
0.9,15,0.8972889054221428,10101.325214191005,-210.66458928459306
0.9,16,0.8989165439751591,9953.809527117373,-207.4327629431003
0.9,17,0.9004831474730068,10015.382036729916,-209.76165084542524
0.9,18,0.89989746282952,9926.914008958913,-211.63374276184857
0.9,19,0.8980128758129685,10052.939350251407,-211.5952501352148
0.9,20,0.8997327400713783,9976.13994419987,-209.45478104794554
0.9,21,0.9012768885712668,10094.032684671238,-210.53918932678965
0.9,22,0.9015822081207824,9999.88891795943,-208.45707272465137
0.9,23,0.8998240817847483,9932.94365748902,-212.64447216251642
0.9,24,0.9020046615159855,9978.137423709371,-210.1908876858214
0.9,25,0.9006004758686452,10036.594018317886,-211.07576964369218
