Sim,F_true,F_est,Nu0_true,Nu0_est,T_true,T_est,Theta,Loglik
1,0.1,0.06784913772201548,0.1,0.10093394042153833,0.1,0.09448074731081753,9888.513964340455,-208.00220433286188
2,0.1,0.06948498731432264,0.1,0.09212790908035619,0.1,0.09163124648055816,10065.890291520383,-206.85374111834597
3,0.1,0.1060598476709046,0.1,0.1039591729966949,0.1,0.09677274081565358,9884.778946818229,-211.4948613145259
4,0.1,0.07165288363982603,0.1,0.1007847656234052,0.1,0.0976289578414259,9981.369949834185,-208.02471317804634
5,0.1,0.07416117628667022,0.1,0.10551723571320963,0.1,0.0982245208784367,9756.397407471042,-206.28081037923266
6,0.1,0.10715225225419175,0.1,0.10632854384298973,0.1,0.10614444431592783,9920.854948527107,-208.9734051407836
7,0.1,0.11123440249880995,0.1,0.10204386597530193,0.1,0.10235742717882056,10105.48729805581,-209.86430462567182
8,0.1,0.09771076337453923,0.1,0.1029754668555078,0.1,0.10283024071212858,9984.504508145703,-211.00551615321922
9,0.1,0.12615185455716899,0.1,0.10105070959348098,0.1,0.10003915652683369,9964.083950651344,-207.2519656363271
10,0.1,0.10549905300639664,0.1,0.10176237610292681,0.1,0.10124297017334377,9968.459747765162,-210.12842453516225
11,0.1,0.13410922926216437,0.1,0.09537487449442328,0.1,0.10381216985645575,10254.623525436968,-210.15452327937328
12,0.1,0.09803884896010252,0.1,0.10652466517689739,0.1,0.09837912627489305,9900.387296755933,-208.33642176489025
13,0.1,0.09712867885188403,0.1,0.09869322496520769,0.1,0.09751733495990446,9935.685712236687,-209.7745213083998
14,0.1,0.07997456545815354,0.1,0.09977493539881963,0.1,0.1042341305545562,10075.219074322455,-204.40281118937548
15,0.1,0.11618444330932177,0.1,0.10176090656339444,0.1,0.09852713754565322,9965.594924557361,-207.23301583249702
16,0.1,0.10503565881659796,0.1,0.09587653191710892,0.1,0.10326203411315484,10154.777663026858,-208.15223501024138
17,0.1,0.10545397763479958,0.1,0.0993678148247833,0.1,0.10063900542264262,10004.201964986602,-206.2530557028407
18,0.1,0.11171160478415434,0.1,0.09706788000434736,0.1,0.10445122738752424,10306.257377065283,-209.60661952839598
19,0.1,0.08357588052072605,0.1,0.10312521293123145,0.1,0.09796554370639071,9962.916296317866,-208.90324931861983
20,0.1,0.08947920457069253,0.1,0.09966456193470351,0.1,0.10418536094726384,10126.091816916589,-210.2374921755528
1,0.1,0.07486939316524323,0.1,0.10590748831622876,0.2,0.19767263515553116,9744.356700365937,-205.4105519196777
2,0.1,0.09918808609930065,0.1,0.0915459232070944,0.2,0.18998902203761547,10271.095356841686,-205.31501521101848
3,0.1,0.0490196902223,0.1,0.10784549705982334,0.2,0.18957097446938212,9570.898575195426,-202.18590041292202
4,0.1,0.09132803200261201,0.1,0.11036741749246627,0.2,0.20691167276306427,9729.07773201496,-207.4424904239853
5,0.1,0.10001499985692358,0.1,0.09845733376650878,0.2,0.1899633735677082,10083.709483071145,-208.0453470605894
