Sim,F_true,F_est,Nu2_true,Nu2_est,T_true,T_est,M21_true,M21_est,Theta,Loglik
1,0.75,0.7195017897167917,0.1,0.0979971662880626,0.1,0.09382795975694846,0.5,0.41859076968337233,10071.415587888712,-5448.681100647331
2,0.75,0.7490510737032392,0.1,0.0980517549242577,0.1,0.09565661597073012,0.5,0.46207492345203555,10012.88407249977,-5435.613449067305
3,0.75,0.7601795392523965,0.1,0.08434303724849106,0.1,0.08375678104110192,0.5,0.5791809989755516,10144.599807536208,-5470.222570151658
4,0.75,0.7599342753525398,0.1,0.09691925355721222,0.1,0.09919226480503304,0.5,0.5359523661640256,10024.067569181781,-5421.990654602222
5,0.75,0.7430591765635204,0.1,0.10338038624878389,0.1,0.10073290590244778,0.5,0.3020404480683744,10020.047302368208,-5457.244955022734
6,0.75,0.7165573347754387,0.1,0.0914675966686522,0.1,0.09361872006726514,0.5,0.6642835477963314,10094.01701769159,-5444.009956789261
7,0.75,0.7109384193513579,0.1,0.09764230209619551,0.1,0.0960589187236598,0.5,0.35725479479161004,10033.457960435151,-5408.5172677142855
8,0.75,0.7448110178910977,0.1,0.09604046791508489,0.1,0.09493794227759453,0.5,0.4956322091858124,9949.226992456794,-5441.093939907443
9,0.75,0.7469383993882035,0.1,0.09923650939809639,0.1,0.0947859727868574,0.5,0.3965375522981995,10005.267203148771,-5459.925013769357
10,0.75,0.7469328894805367,0.1,0.0996223259879602,0.1,0.09812002393375498,0.5,0.42696605841177004,9988.85266801946,-5415.205616957165
11,0.75,0.7398452826830438,0.1,0.1028506892847279,0.1,0.1021564990355044,0.5,0.40441093298945235,10024.730616253963,-5449.722011278381
12,0.75,0.6974063298374583,0.1,0.09821821168245466,0.1,0.09624970008139824,0.5,0.39529177691925926,9969.01586894937,-5441.517557010224
13,0.75,0.7286026089300275,0.1,0.09871527306298997,0.1,0.09550022593109432,0.5,0.3699083078110741,10101.246644113933,-5440.931877413579
14,0.75,0.7512212409264127,0.1,0.10233715592607116,0.1,0.098616656001182,0.5,0.3372844147095467,10037.132731167767,-5385.566423282857
15,0.75,0.7347705223499341,0.1,0.09602297696808466,0.1,0.09268867697671741,0.5,0.42750338840602514,9990.417162153502,-5428.412194931275
16,0.75,0.7299949607340679,0.1,0.09703598420238158,0.1,0.0994085545445116,0.5,0.6329301584183212,10016.356004207537,-5382.67062840059
17,0.75,0.7382652170944133,0.1,0.09877151236496864,0.1,0.0930484504165491,0.5,0.26243534744497504,9985.806726362425,-5449.890063460676
18,0.75,0.7416771348814886,0.1,0.10409499302186452,0.1,0.09709845857096436,0.5,0.2833018587101943,9954.229907191526,-5460.26744212054
19,0.75,0.7069253383173416,0.1,0.10081365720840924,0.1,0.10157357378913816,0.5,0.6324289352840889,9889.273520384859,-5419.03174305756
20,0.75,0.7603221213524396,0.1,0.09068803036263323,0.1,0.09050916386664354,0.5,0.581813449220521,10069.261145322627,-5459.622530084231
1,0.75,0.7413600011951326,0.1,0.09742603832827937,0.1,0.09790191215706381,1.0,0.8811065690253772,9934.938713524518,-5566.337006002136
2,0.75,0.7224505885235705,0.1,0.10566145818791003,0.1,0.10000708066442608,1.0,0.6935850294111977,9886.356521375928,-5527.345683856183
3,0.75,0.7434284473628837,0.1,0.10672782871244094,0.1,0.09818982720890973,1.0,0.6428226367369758,9929.909857557433,-5499.389234084904
4,0.75,0.7399624563018454,0.1,0.10352949785005756,0.1,0.09443004859451187,1.0,0.5608049980701664,9958.2147031648,-5530.196912033445
5,0.75,0.7217605624381951,0.1,0.09958398930771406,0.1,0.10019747099188131,1.0,1.149111565694111,9968.430161724358,-5564.93129182667
6,0.75,0.7226343679159954,0.1,0.10171587653094767,0.1,0.09844595473785632,1.0,0.8623553045499418,10014.043650650672,-5537.8143080746795
7,0.75,0.7695653035545422,0.1,0.09116022629407486,0.1,0.08982871378131728,1.0,1.1280898651141917,10049.893900476858,-5529.885116256023
8,0.75,0.7591300802153467,0.1,0.09347616185631641,0.1,0.0997151333728183,1.0,1.3860316917109756,9973.416749172518,-5526.079412206262
9,0.75,0.7551873948789273,0.1,0.09525401533355317,0.1,0.09535669831271733,1.0,1.015554310737719,10010.512253867957,-5521.974846577483
10,0.75,0.7137445819226559,0.1,0.10718662724858813,0.1,0.10656058766549677,1.0,0.8165278458442459,9884.283694256941,-5537.941119525647
11,0.75,0.7608422133424125,0.1,0.10590012527969475,0.1,0.10181192409263777,1.0,0.7997379360548855,10000.825743584692,-5541.616951021822
12,0.75,0.7752429473196936,0.1,0.11299954129977226,0.1,0.10811138493837066,1.0,0.6353548341057054,9943.462288628245,-5545.574198827302
13,0.75,0.7441705850668796,0.1,0.09945349932825531,0.1,0.09434842001746525,1.0,0.735724265965667,10030.82478206854,-5567.222806742384
14,0.75,0.7095191550326235,0.1,0.09458193281427549,0.1,0.10341054288027925,1.0,1.4827613783853872,10040.930993997908,-5550.848734188557
15,0.75,0.7246293359677675,0.1,0.09274503015314738,0.1,0.09838028095671128,1.0,0.9489478984091603,10026.558246814297,-5582.913974371818
16,0.75,0.7448734863372619,0.1,0.10171709052803207,0.1,0.10858123394935937,1.0,1.2037142381078092,9928.36865799544,-5545.308217606205
17,0.75,0.7471697043035986,0.1,0.09814185662973247,0.1,0.10186981028301662,1.0,1.2241062563289289,9989.53250135927,-5507.0320759344495
18,0.75,0.764854941515579,0.1,0.10538502679242112,0.1,0.10671430264984846,1.0,0.808734803601289,9889.177498876272,-5541.963647418499
19,0.75,0.7485331244526828,0.1,0.107811682449806,0.1,0.1017706700744523,1.0,0.5876494894585566,9912.085462062194,-5544.3660375925265
20,0.75,0.7317844830661145,0.1,0.10429450576540134,0.1,0.09866690492209922,1.0,0.8154479562434751,9871.842783128362,-5542.426628010366
1,0.75,0.7468140931442508,0.1,0.10197588448347486,0.1,0.10029365009514205,1.5,1.5045967214949187,9954.170886567634,-5592.863833320262
2,0.75,0.7304363036506105,0.1,0.10500390300395351,0.1,0.10537113030929565,1.5,1.5243381692352114,9900.021998319757,-5620.17167601123
3,0.75,0.7064894051611794,0.1,0.1114990229663779,0.1,0.10385957435453451,1.5,1.0191144260726257,9876.453569591768,-5617.065971901591
4,0.75,0.7372950091960331,0.1,0.10334174700012658,0.1,0.10332326391518097,1.5,1.3325452322031115,9984.577404995141,-5642.533666788506
