Sim,F_true,Nu0_true,Nu0_est,T_true,T_est,Theta,Loglik
1,0.1,0.1,0.10022328545213718,0.1,0.091446794697015,9729.879939578233,-215.26996024526875
2,0.1,0.1,0.09702242572757343,0.1,0.09199469633572244,9892.515985005914,-213.91501415480343
3,0.1,0.1,0.10371314644117195,0.1,0.09643437064463892,9711.743647522924,-209.45251501890016
4,0.1,0.1,0.10045508150814328,0.1,0.08982115116102753,9822.394276369412,-215.81215472468034
5,0.1,0.1,0.0911825479891914,0.1,0.09144492161150045,10034.418890844785,-211.71091527018223
6,0.1,0.1,0.10295640881860489,0.1,0.09351372227944336,9768.238836814162,-210.4697340389988
7,0.1,0.1,0.09477084057514573,0.1,0.09593534230835916,9866.694054686403,-207.83536007841622
8,0.1,0.1,0.09551287650866284,0.1,0.09044675873142688,9897.14505844557,-215.58603913503703
9,0.1,0.1,0.09174296338486401,0.1,0.09419075791615779,10023.96932177109,-213.37303062862088
10,0.1,0.1,0.0995104380723438,0.1,0.09704604041571441,9841.792320005477,-211.80969647223492
11,0.1,0.1,0.09884612721818085,0.1,0.09192622377044844,9810.386650941906,-211.07810125751553
12,0.1,0.1,0.09307281122766028,0.1,0.08765616361681665,9817.46859018747,-213.6259952204898
13,0.1,0.1,0.09338610824781665,0.1,0.08951322371684307,9800.803838054866,-213.02829064271054
14,0.1,0.1,0.09375342852165999,0.1,0.08950574186957148,9866.535893662722,-213.55361218250414
15,0.1,0.1,0.10049085120931493,0.1,0.09048631218623605,9677.26024340317,-211.72584549388898
16,0.1,0.1,0.09327355911333447,0.1,0.08906994135974867,9947.564825863668,-212.31423005700276
17,0.1,0.1,0.09691974048476389,0.1,0.09008656749929453,9737.7433662507,-213.91152410966083
18,0.1,0.1,0.09533480454601545,0.1,0.08765321290842211,9791.669839575763,-213.6959911927696
19,0.1,0.1,0.09543160651524042,0.1,0.09456162759665768,9930.151444126119,-212.98187119416536
20,0.1,0.1,0.09505955239632559,0.1,0.09362699986241936,10003.121780926442,-214.89995605304057
1,0.1,0.1,0.10103712915553949,0.2,0.1900906176766275,9718.548935266039,-205.8848876657803
2,0.1,0.1,0.11942428752132372,0.2,0.20543519350169295,9273.589077901855,-207.56796213558948
3,0.1,0.1,0.11246774392233508,0.2,0.19462845298657394,9506.740088393914,-207.73464555386136
4,0.1,0.1,0.1274863737487595,0.2,0.21043645063108235,9263.55923282781,-208.71198983327236
5,0.1,0.1,0.10844004966037321,0.2,0.1960345648747694,9575.547676138518,-207.64389459981612
6,0.1,0.1,0.12336505135666354,0.2,0.20806309557884844,9280.505460009308,-208.49903176978955
7,0.1,0.1,0.12043831794531792,0.2,0.20269107596805847,9380.677094801704,-211.99386413184538
8,0.1,0.1,0.11843012836951276,0.2,0.19863316619533064,9352.714817066319,-211.67861583911304
9,0.1,0.1,0.1170102770385052,0.2,0.20982178230438672,9557.378640531084,-206.63074589650137
10,0.1,0.1,0.11303719908745166,0.2,0.21265630115250292,9605.78445352163,-209.27089005482287
11,0.1,0.1,0.10454904171322855,0.2,0.20129259259052348,9648.1156351238,-207.85793274014225
12,0.1,0.1,0.12056540039666533,0.2,0.20051755862752654,9346.228931701511,-206.89900432866966
13,0.1,0.1,0.11485275145875357,0.2,0.1906254536184235,9445.893517136756,-208.96270490424695
14,0.1,0.1,0.10703642947004793,0.2,0.1917358076297502,9598.51347203827,-208.5320648538692
15,0.1,0.1,0.1288563964751443,0.2,0.19353356431085203,9227.569641938042,-206.98501354166694
16,0.1,0.1,0.1155196488812736,0.2,0.19870909301463002,9539.247735603869,-206.41146111606633
