Sim,F_true,Nu2_true,Nu2_est,T_true,T_est,M21_true,M21_est,Theta,Loglik
1,0.2,0.1,0.0896071202865886,0.1,0.08741666853897435,0.5,0.4086094676504335,10066.560736447345,-5456.534736869207
2,0.2,0.1,0.09850586212288148,0.1,0.0963404284588618,0.5,0.379480628157253,10021.491926290111,-5479.677221119723
3,0.2,0.1,0.09546420675870497,0.1,0.0951511771513313,0.5,0.42297432464351775,10005.823742174603,-5473.596670418482
4,0.2,0.1,0.0969199271805714,0.1,0.09774435092383217,0.5,0.5100552498081916,10009.081638020429,-5467.935847779176
5,0.2,0.1,0.09884092239854671,0.1,0.09471734754499476,0.5,0.3432329365435918,9999.795614693232,-5479.0186770034725
6,0.2,0.1,0.09532187440591916,0.1,0.09314553462067886,0.5,0.488259594516835,10073.665416512787,-5472.170628492202
7,0.2,0.1,0.09119175052304632,0.1,0.08934011638122205,0.5,0.44258109388067773,10035.570882728076,-5469.855855446967
8,0.2,0.1,0.09249404450584532,0.1,0.09172661275851748,0.5,0.4282217160548458,10058.018436464461,-5442.542281750224
9,0.2,0.1,0.09390725508032725,0.1,0.09627118970685282,0.5,0.519895686430712,9988.021265790772,-5469.435958005342
10,0.2,0.1,0.09451591219158592,0.1,0.0911459395576445,0.5,0.371120755509072,10038.46058269391,-5482.457381073974
11,0.2,0.1,0.09390145208010901,0.1,0.09487441981300455,0.5,0.44446277709876997,10015.493166173796,-5482.839083999566
12,0.2,0.1,0.09334006484984357,0.1,0.09396197084888483,0.5,0.4946561268323509,10039.343778121896,-5474.990270235217
13,0.2,0.1,0.10283294192785325,0.1,0.09755037577945119,0.5,0.34035988029830705,9916.61187964083,-5467.940193115499
14,0.2,0.1,0.09979548923829344,0.1,0.09741239218114252,0.5,0.4265879554979515,10015.136371397673,-5467.77355994804
15,0.2,0.1,0.09178087448088751,0.1,0.09291245146345502,0.5,0.4814067799472828,10087.778475877087,-5469.594930278858
16,0.2,0.1,0.09619815067086414,0.1,0.09635547422950043,0.5,0.3554726025359524,10010.355688195958,-5412.8802657028955
17,0.2,0.1,0.09886900292511315,0.1,0.0968894419889911,0.5,0.360219061300848,9995.975943777157,-5447.342123645412
18,0.2,0.1,0.10057360114854194,0.1,0.09833306299183923,0.5,0.34463740620593303,9887.202364643983,-5460.6275899351085
19,0.2,0.1,0.08971585978240904,0.1,0.08964799537264094,0.5,0.4895536938915565,10096.464232589211,-5465.222862639135
20,0.2,0.1,0.09916434980674234,0.1,0.09749272924241503,0.5,0.4860379595005735,9949.687394735463,-5445.764814538032
1,0.2,0.1,0.09715192572961077,0.1,0.09686390569079328,1.0,0.851761203663877,9951.80766050402,-5543.905481298519
2,0.2,0.1,0.09045572639084956,0.1,0.08678696723563074,1.0,0.9332179833795143,10073.824774934472,-5554.0840864589445
3,0.2,0.1,0.09505878160563935,0.1,0.0953059591124851,1.0,1.0473862703895447,9940.92106518877,-5577.295571001001
4,0.2,0.1,0.09914638230768824,0.1,0.09923442397948845,1.0,0.89147671590273,9987.789061658903,-5540.532061746697
5,0.2,0.1,0.10704868839888448,0.1,0.10160059156766811,1.0,0.9505635531187435,9878.615135361102,-5572.603768136343
6,0.2,0.1,0.09715143339816751,0.1,0.0940829488506018,1.0,0.8829127444808301,9974.694647577193,-5559.893066527791
7,0.2,0.1,0.09060142472128178,0.1,0.08764666018298377,1.0,0.9264245519671028,9998.474362890718,-5563.352398678044
8,0.2,0.1,0.09916145073323246,0.1,0.10420335362262204,1.0,1.1253738514010458,9985.942919762856,-5550.570922894702
9,0.2,0.1,0.09980913573540438,0.1,0.10222273400295648,1.0,0.9591283037149533,9968.369330834224,-5536.7946246583315
10,0.2,0.1,0.09790795115336867,0.1,0.09770801243464844,1.0,0.9889075053667813,9981.581849028033,-5538.606706094177
11,0.2,0.1,0.09177358960100165,0.1,0.09101725358710552,1.0,0.8861211300828632,9984.040784728855,-5548.239620182815
12,0.2,0.1,0.0990589813373924,0.1,0.100269039653891,1.0,0.894759375405689,9956.738466884342,-5582.025972768091
13,0.2,0.1,0.09786785816702404,0.1,0.09711628798119243,1.0,1.0352805178287041,10025.8753613397,-5566.191172048495
14,0.2,0.1,0.10096344816465316,0.1,0.09608860640757931,1.0,0.8402173874125383,9966.224514770785,-5557.7184835505595
15,0.2,0.1,0.09460320908145814,0.1,0.09224551392103007,1.0,0.8708340663889336,10005.567255573753,-5550.3126647865265
16,0.2,0.1,0.09505769313879214,0.1,0.09560338192830568,1.0,1.0703498185695022,9994.781544920257,-5565.690375465605
17,0.2,0.1,0.09724955684258513,0.1,0.09738131893926046,1.0,1.002939240069611,9944.56044707457,-5543.320809599976
18,0.2,0.1,0.0952451293823142,0.1,0.0923592439742158,1.0,0.9686808668808047,9991.85629761198,-5548.574605972382
19,0.2,0.1,0.09518982377220968,0.1,0.09628381129881303,1.0,1.0869874222909153,10023.765743035638,-5561.390591842195
20,0.2,0.1,0.09368712445455435,0.1,0.09494048999201167,1.0,1.0295828561558897,9997.970541163606,-5531.312537024345
1,0.2,0.1,0.1041382869935197,0.1,0.1056408062045441,1.5,1.402465863447937,9963.798284974142,-5632.636037423188
2,0.2,0.1,0.09511621417396685,0.1,0.09537879750161139,1.5,1.4207243867233907,10018.014748150934,-5600.561593415119
3,0.2,0.1,0.10074428617677716,0.1,0.0977294468525437,1.5,1.3898592824415692,9992.364997515684,-5666.409377334503
4,0.2,0.1,0.0990389656542416,0.1,0.09510203226885264,1.5,1.3226736079690677,9988.698827546137,-5641.134277498965
5,0.2,0.1,0.0935737535032958,0.1,0.09261993350338199,1.5,1.4865630318622924,10053.460225766205,-5633.062696649239
6,0.2,0.1,0.09645436317228992,0.1,0.09417084236640835,1.5,1.367353929658106,9981.343101676204,-5644.6775052622
7,0.2,0.1,0.0938384244374656,0.1,0.09797868181147379,1.5,1.7742742265218234,10034.152383546545,-5638.212647356962
8,0.2,0.1,0.0896634340497899,0.1,0.09111246901623499,1.5,1.4007551824346667,10078.542559474956,-5576.225449513426
9,0.2,0.1,0.09992896526383463,0.1,0.09725487095938151,1.5,1.3673146548497155,9949.591357355996,-5633.944026541136
10,0.2,0.1,0.09846392580991359,0.1,0.09718439986350041,1.5,1.409729140665286,9996.930179425419,-5630.117712326967
11,0.2,0.1,0.09575578811111812,0.1,0.09591748238700828,1.5,1.4262774205192086,10012.480355084137,-5621.875328843014
12,0.2,0.1,0.09356498426905886,0.1,0.09408945894653974,1.5,1.525097610480657,9998.671691387626,-5629.389575945402
13,0.2,0.1,0.0944321781244694,0.1,0.08860260685476187,1.5,1.3028855678633184,10109.222114126438,-5628.800457933668
14,0.2,0.1,0.09759035684206961,0.1,0.09340853470289887,1.5,1.358035602345425,9998.268367239565,-5633.684507319211
15,0.2,0.1,0.1023315012898577,0.1,0.102407712093677,1.5,1.4693792848166047,9951.636384110274,-5649.371990422942
16,0.2,0.1,0.0972146409227127,0.1,0.0980781600508466,1.5,1.5468444232306964,9981.033205484739,-5645.339901713234
17,0.2,0.1,0.09768963684600186,0.1,0.10244279373526755,1.5,1.5306104574385406,9988.998424267254,-5650.304126982755
18,0.2,0.1,0.09621896701529883,0.1,0.09176790984537998,1.5,1.3754868540945957,10067.959163931706,-5609.482984463761
19,0.2,0.1,0.09222631677466082,0.1,0.0922440932874432,1.5,1.4761835235377982,10062.957156130473,-5639.278115056167
20,0.2,0.1,0.09637073774430463,0.1,0.09497391651496705,1.5,1.3898357732638273,10029.549956598852,-5648.063804740262
1,0.2,0.1,0.10031540318965793,0.2,0.19607846486043434,0.5,0.4232144563724894,9907.47499185121,-4630.413345198
2,0.2,0.1,0.10141580424677489,0.2,0.19594709722627807,0.5,0.4438576623291541,9861.741814066683,-4635.607941565355
3,0.2,0.1,0.09787469396100103,0.2,0.2030040563326497,0.5,0.5469254558911688,9954.966497797413,-4651.822291050952
4,0.2,0.1,0.09345573286934808,0.2,0.18988010593757154,0.5,0.5631212571903862,10045.636142698506,-4665.19442667887
5,0.2,0.1,0.10885781919630581,0.2,0.22512779440305064,0.5,0.4792576352773834,9885.054930327267,-4655.403939300888
6,0.2,0.1,0.0989188832593109,0.2,0.1932863494440039,0.5,0.39220483618917534,10000.794978133967,-4660.266795020735
7,0.2,0.1,0.10673247388922899,0.2,0.21491600042238923,0.5,0.4261607825453268,9871.743273558965,-4645.4325737353865
8,0.2,0.1,0.09521122661695955,0.2,0.1888204855364638,0.5,0.4517605441165691,10001.98983951306,-4652.779238474266
9,0.2,0.1,0.09546285784419313,0.2,0.192361065138215,0.5,0.5255132392670064,9937.72645422992,-4658.878662174381
10,0.2,0.1,0.09219740292655035,0.2,0.18788632474587744,0.5,0.4906485761242115,10023.063851565881,-4633.357737075476
11,0.2,0.1,0.09822617694323865,0.2,0.1960056924985418,0.5,0.43785163412626954,9987.948833851198,-4627.756964717919
12,0.2,0.1,0.0947821543252361,0.2,0.19127665799772872,0.5,0.4719079040492191,10034.244694155745,-4688.922099190117
13,0.2,0.1,0.10030602028964986,0.2,0.20520018594653694,0.5,0.49494930411176813,9914.920605219602,-4659.98280838635
14,0.2,0.1,0.0985873795857905,0.2,0.19817946499894906,0.5,0.5058284679456316,9909.997257689576,-4657.783253126518
15,0.2,0.1,0.09793498639890225,0.2,0.19879395734202518,0.5,0.4869737435646212,9996.450412452088,-4663.8738315281225
16,0.2,0.1,0.09478850275952014,0.2,0.1950502155062585,0.5,0.48091733138888854,9973.849417540378,-4612.194228806997
17,0.2,0.1,0.09852413214583187,0.2,0.1966410951646111,0.5,0.43766140916977403,10009.650586723898,-4642.774836945735
18,0.2,0.1,0.10077865828917067,0.2,0.19821145550281943,0.5,0.470390466107394,9996.826119268533,-4660.924803466466
19,0.2,0.1,0.0996893891301603,0.2,0.201842361626296,0.5,0.4594872964769111,9941.200462044477,-4645.94903145602
20,0.2,0.1,0.10133056822492836,0.2,0.2059038620725392,0.5,0.4722012033646604,9934.511257173584,-4662.356341996652
