Sim,F_true,Nu0_true,Nu0_est,T_true,T_est,Theta,Loglik
1,0.1,0.1,0.11110091914550892,0.1,0.10848858293728326,10027.208735214548,-208.88575899947455
2,0.1,0.1,0.09351693651463364,0.1,0.0953516449437989,10588.030274526778,-220.54398657737465
3,0.1,0.1,0.0999258613113706,0.1,0.10004379172690905,10022.866414370017,-207.15082168173922
4,0.1,0.1,0.10314565104588885,0.1,0.10712079893232526,10637.572296354823,-218.1822457990006
5,0.1,0.1,0.11573474306535675,0.1,0.11797621768168715,9972.545747380127,-202.31779852752766
6,0.1,0.1,0.0995449596678795,0.1,0.10701188214184862,11284.802991400638,-241.15677302128643
7,0.1,0.1,0.09160309735090816,0.1,0.09183337945672634,10196.062089770463,-199.85988323517142
8,0.1,0.1,0.10252063925909549,0.1,0.10532097015513411,9483.480266131863,-215.9796418067982
9,0.1,0.1,0.09245096445440178,0.1,0.08805198457826867,11014.20918038228,-231.09839487609702
10,0.1,0.1,0.11217255503397691,0.1,0.10566123932967102,9781.886462284952,-199.8911788501033
11,0.1,0.1,0.09587441890882772,0.1,0.08436558794389354,10108.949255444177,-203.85554694485438
12,0.1,0.1,0.10260532414933887,0.1,0.09554730529732046,10925.299240438182,-239.08243286291201
13,0.1,0.1,0.10379619502449725,0.1,0.10962826025920124,9954.561032520887,-202.8537661044577
14,0.1,0.1,0.09510916892823855,0.1,0.09778266638423246,10099.585350870124,-214.72918331280778
15,0.1,0.1,0.09880192820072685,0.1,0.09600317028427134,9887.248699555617,-200.65896970804658
16,0.1,0.1,0.10111851393755932,0.1,0.09798708263161919,8884.321584143107,-270.58279859022275
17,0.1,0.1,0.10350094893711376,0.1,0.11024682475982447,10148.911037614882,-205.48180782072563
18,0.1,0.1,0.09236063628635649,0.1,0.09438473982143779,9766.246461588857,-204.26926457900834
19,0.1,0.1,0.10235309490972369,0.1,0.11543059391022042,10656.765937575661,-218.22319023164948
20,0.1,0.1,0.11827988758249891,0.1,0.11637799973781499,10040.35766111203,-205.90057821536107
1,0.1,0.1,0.11401358126127749,0.2,0.2042841582190498,9727.724485799077,-200.37579753981333
2,0.1,0.1,0.11273757899658243,0.2,0.1884314477646053,9457.535989918542,-201.61176883199164
3,0.1,0.1,0.10573265806852741,0.2,0.2007923624638085,9744.112672606076,-201.12023041535497
4,0.1,0.1,0.08621552991236164,0.2,0.1853181424283491,9212.366093659515,-212.5790514314425
5,0.1,0.1,0.11439222183850806,0.2,0.19046835493348038,10768.921475760742,-195.59948553254844
6,0.1,0.1,0.10399655881328637,0.2,0.1981719930689241,8409.340271568128,-241.7739370083151
7,0.1,0.1,0.09114717486875837,0.2,0.20146704987131775,8603.554797295308,-243.9670261304725
8,0.1,0.1,0.10605175855475704,0.2,0.19987606001595304,9975.65582013543,-198.70359591019746
9,0.1,0.1,0.09696865978881056,0.2,0.19114466543627856,9512.234968994015,-209.14274534998503
10,0.1,0.1,0.09755428767843234,0.2,0.21226715668881313,8865.167057706101,-216.63044207466965
11,0.1,0.1,0.09690562552454275,0.2,0.1881639906093129,9733.025149478537,-205.71335463740445
12,0.1,0.1,0.10029213541386978,0.2,0.19728757044402448,9701.893035684421,-204.5483487522905
13,0.1,0.1,0.12062992124591906,0.2,0.2106891879595037,9374.405964665753,-193.3967175207514
14,0.1,0.1,0.10575969010260468,0.2,0.2088826449001529,9990.211943593307,-202.12698934816467
15,0.1,0.1,0.10726903584376109,0.2,0.19785916930245523,8502.283447575504,-218.45079484006192
16,0.1,0.1,0.10012658120255508,0.2,0.2120405462320697,9997.219982518574,-210.56110346719947
17,0.1,0.1,0.08476245728452925,0.2,0.198894740859981,8513.680993925454,-241.42548755186954
18,0.1,0.1,0.1045103787841976,0.2,0.18644307868632234,8517.47038549916,-243.1939426837796
19,0.1,0.1,0.1003035823075659,0.2,0.19899437552077415,10250.51020959675,-204.33944171045403
20,0.1,0.1,0.10136211277870626,0.2,0.20987113844511393,10318.053586735536,-214.77302997950187
1,0.1,0.1,0.1754414284441665,0.3,0.3577799639800826,8779.693170900327,-203.2224598866145
2,0.1,0.1,0.09750684436198588,0.3,0.3055323032468196,8801.973875267995,-200.9480655022113
3,0.1,0.1,0.10108385491421297,0.3,0.30575215191221505,9659.58075292813,-195.822862869294
4,0.1,0.1,0.07098467507814091,0.3,0.26469869599705254,12270.25206524913,-204.37588271812467
5,0.1,0.1,0.11832283413039243,0.3,0.3236410283949904,8886.593211610823,-196.59231014771183
6,0.1,0.1,0.10907891042102763,0.3,0.3083950851656507,9103.549503830178,-197.4868565777565
7,0.1,0.1,0.126772853533243,0.3,0.3404707647054568,9225.39309314584,-192.86996185265343
8,0.1,0.1,0.11994072813691242,0.3,0.3448757248716182,9030.97038545506,-196.07818240275174
9,0.1,0.1,0.10065146322883921,0.3,0.2908977919140559,9179.043951183665,-193.20963910046783
10,0.1,0.1,0.12628149970745134,0.3,0.3283786446232746,8963.191352198774,-194.05761014044526
11,0.1,0.1,0.08681191623423487,0.3,0.2926924414530197,7101.948688076974,-231.55043279397933
12,0.1,0.1,0.1337689772987881,0.3,0.33061517002838087,11632.107080422555,-206.6058573211484
13,0.1,0.1,0.06613370499013652,0.3,0.27338090170608004,10779.860161196366,-196.66781456657077
14,0.1,0.1,0.09504650909113883,0.3,0.29785909858074744,9880.289989600715,-204.29728848028356
15,0.1,0.1,0.11066735474479975,0.3,0.30647654943033203,9710.24463559025,-198.92246578785262
16,0.1,0.1,0.10011173459115325,0.3,0.30261831640891246,9524.025287964318,-198.5577446778792
17,0.1,0.1,0.09311922329993959,0.3,0.2889670608859777,8624.151705772627,-205.0028299109273
18,0.1,0.1,0.10963033932344253,0.3,0.3153577280997961,10685.429063190453,-195.9284938249998
19,0.1,0.1,0.09688926081715438,0.3,0.2920575179703878,6906.557734264878,-262.4678270845192
20,0.1,0.1,0.09224762840312796,0.3,0.3090293167323147,9880.471024590752,-196.0964361751361
1,0.1,0.25,0.2946681784339955,0.1,0.1218361109002135,9768.356812513013,-210.75596494451656
2,0.1,0.25,0.27178369514205863,0.1,0.1075177144565365,9884.91737554427,-208.6024076198804
3,0.1,0.25,0.2322764386875786,0.1,0.10065964934198321,9860.708571791316,-204.13635888937222
4,0.1,0.25,0.2850855809796215,0.1,0.1144958141989488,9920.71618612867,-209.48507548642044
5,0.1,0.25,0.2492289394542488,0.1,0.09772698360679814,9915.179631670138,-202.53972957057624
6,0.1,0.25,0.2753641477981003,0.1,0.09537671983896988,9919.428253881591,-213.14061310421016
7,0.1,0.25,0.2586994234190337,0.1,0.09875336659445946,10148.947092408362,-205.88896106975028
8,0.1,0.25,0.2592992061371917,0.1,0.10916410816576222,9544.667821396071,-226.84964037519694
9,0.1,0.25,0.25551736501179095,0.1,0.09881711243953023,10026.440218874588,-211.90513164307652
10,0.1,0.25,0.23908198031813435,0.1,0.09778728875204928,9825.015087120499,-212.31365258062385
11,0.1,0.25,0.2719587445430072,0.1,0.12563587604687648,9847.775034205108,-208.22732425544132
12,0.1,0.25,0.22570845263394787,0.1,0.08428744629860604,10046.304537577573,-214.67419471610117
13,0.1,0.25,0.2584996650211091,0.1,0.10096954091993632,10001.181454976959,-207.88765222612085
14,0.1,0.25,0.24150145382681446,0.1,0.09242501151255342,9339.052436566617,-230.45981738195724
15,0.1,0.25,0.24163447186769357,0.1,0.0940615874055933,9916.485888374586,-206.39431785931265
16,0.1,0.25,0.2593226271172357,0.1,0.1049933043898426,10174.782492130213,-209.50127385721612
