Sim,F_true,Nu2_true,Nu2_est,T_true,T_est,M21_true,M21_est,Theta,Loglik
1,0.3,0.1,0.10301961797305528,0.1,0.10207646010403072,0.5,0.38103939355049127,9866.754839416784,-5435.975294423542
2,0.3,0.1,0.09592895812775017,0.1,0.09638401832259136,0.5,0.43782702159527026,10030.469815301874,-8141.297244266932
3,0.3,0.1,0.09901733973564396,0.1,0.09987485132763581,0.5,0.47142495802014484,9884.513769163086,-5480.974179814184
4,0.3,0.1,0.0929412935244941,0.1,0.09331984665103438,0.5,0.4573803279281466,10010.724632424606,-5445.980111788441
5,0.3,0.1,0.10091310395648283,0.1,0.10032283213722289,0.5,0.4260985106076968,10015.946926433275,-5477.221140394808
6,0.3,0.1,0.09543644182492304,0.1,0.09688905948938013,0.5,0.4974796979440369,10059.140120895123,-5567.8248566481825
7,0.3,0.1,0.09257615755997123,0.1,0.09317169578522677,0.5,0.43173172969442175,9991.8179134672,-5410.489776837338
8,0.3,0.1,0.09612870143371312,0.1,0.09670592967349048,0.5,0.3964000067705706,10027.541596467398,-5541.628656240128
9,0.3,0.1,0.09980738489615548,0.1,0.09988525721666391,0.5,0.42193703854886444,9983.377191153239,-5459.993990887929
10,0.3,0.1,0.08651079633892315,0.1,0.08747662760129882,0.5,0.47923218223568825,10096.59548589702,-5554.507423121329
11,0.3,0.1,0.09817096724036237,0.1,0.10052883828228754,0.5,0.37447838528687394,10028.26336772855,-5677.497353974502
12,0.3,0.1,0.10330710149638159,0.1,0.09883780631368955,0.5,0.3549185187987332,9962.384836283445,-5537.928576366215
13,0.3,0.1,0.09371530215504863,0.1,0.09608609963287408,0.5,0.49682559089022654,10068.720831128125,-5539.166721609639
14,0.3,0.1,0.09065215316695939,0.1,0.09061627729866602,0.5,0.5046140683001547,10110.725758274248,-5575.261870456021
15,0.3,0.1,0.10552289530877185,0.1,0.10315566986711937,0.5,0.4145147379009415,10020.743607309363,-5489.443726396952
16,0.3,0.1,0.10355703875281981,0.1,0.0993909281626244,0.5,0.36241580068420354,10042.410945467138,-5535.11188557991
17,0.3,0.1,0.09926501353886664,0.1,0.10023205129743962,0.5,0.5191898490551926,10082.477020524651,-5705.694289432286
18,0.3,0.1,0.09921947963622205,0.1,0.09774974707751184,0.5,0.36675440429603096,10065.776283388273,-5571.2202540241615
19,0.3,0.1,0.09974906909239493,0.1,0.0991439605397255,0.5,0.3928420231651245,9953.04476076261,-5487.310998495926
20,0.3,0.1,0.10464637627444691,0.1,0.10291230951399673,0.5,0.4312939901452719,10020.239934581068,-5513.693835784474
1,0.3,0.1,0.10517209140180368,0.1,0.10223100686522552,1.0,0.8509279895932358,10068.62265652047,-5730.165285111633
2,0.3,0.1,0.09937140300214829,0.1,0.09555460496933438,1.0,0.8032078393568239,10106.315281623873,-5611.825254787069
3,0.3,0.1,0.10039962245413087,0.1,0.09670742295363337,1.0,0.8618208972323491,10059.18378421931,-5600.8613412834675
4,0.3,0.1,0.10289247664291662,0.1,0.09996740219852604,1.0,0.8913338692354548,9972.044519997471,-5574.0540115463045
5,0.3,0.1,0.09692611862355324,0.1,0.09468899667564401,1.0,0.7827079713880384,10045.289560598267,-5607.4198460050875
6,0.3,0.1,0.10439052006560623,0.1,0.10296691503560808,1.0,0.7995283041146837,9979.920569623066,-5586.012223468592
7,0.3,0.1,0.0975338101752119,0.1,0.09719601988547973,1.0,0.8603721344500995,10101.704696896648,-5586.395438937267
8,0.3,0.1,0.09779129518931226,0.1,0.0984108454277918,1.0,0.9691158292634494,10057.102682054587,-5544.735636981768
9,0.3,0.1,0.09585663940383904,0.1,0.09610164354358514,1.0,0.8937784768679822,10044.579429640804,-5510.453342925943
10,0.3,0.1,0.1018986536509927,0.1,0.09848988120860351,1.0,0.8493171495120734,9978.034029682518,-7017.898718146892
11,0.3,0.1,0.09575591325700668,0.1,0.09596687444133013,1.0,0.8097987648144306,10057.321684087741,-5583.031403401441
12,0.3,0.1,0.09990076988604212,0.1,0.1010424726942651,1.0,1.0159484436950523,9926.60473369378,-5657.512022831807
13,0.3,0.1,0.10056165741106397,0.1,0.1008073077984153,1.0,0.8113146776546546,9945.904428166907,-5702.720050618393
14,0.3,0.1,0.09987191627831087,0.1,0.09751547669441613,1.0,0.8672686156171833,9961.59701233173,-5617.682507970406
15,0.3,0.1,0.10128860364934854,0.1,0.09438869809796954,1.0,0.736838123044981,10044.004388888494,-5629.407621913226
16,0.3,0.1,0.09664689511654687,0.1,0.09329075888843257,1.0,0.8563632070215185,9942.261249510255,-5575.97612911118
17,0.3,0.1,0.1067063418820042,0.1,0.10535383179112633,1.0,0.7858535781181922,9967.882328751848,-5564.35263709066
18,0.3,0.1,0.09957074958105433,0.1,0.09652804408516363,1.0,0.9759515140647113,9952.320764235512,-5586.302593554539
19,0.3,0.1,0.09523294963179117,0.1,0.09421655769065504,1.0,0.8228889155607876,10021.955651045115,-5592.210330955193
20,0.3,0.1,0.09722101703067776,0.1,0.09595271230397896,1.0,0.831966699898514,9978.119058541315,-5632.886331991378
1,0.3,0.1,0.09265312076169643,0.1,0.09280508286355703,1.5,1.385885950848889,9979.799966525463,-5661.6328215836065
2,0.3,0.1,0.0984767983881195,0.1,0.0967860175730459,1.5,1.3889580374341315,9969.886037483697,-6835.83151785805
3,0.3,0.1,0.10365533279316541,0.1,0.10265938723807172,1.5,1.3442918442236025,9969.56213429858,-6281.614794384716
4,0.3,0.1,0.09271552475903944,0.1,0.09057210700432135,1.5,1.3447316848574093,10035.38509972854,-5725.059257609661
5,0.3,0.1,0.10436896521721103,0.1,0.10013703616351112,1.5,1.1972725148446695,10050.916340665179,-5669.966757305596
6,0.3,0.1,0.10185155430505438,0.1,0.09620316474537015,1.5,1.2210684319907519,10076.308237121802,-5630.1931104979285
7,0.3,0.1,0.09423123642949069,0.1,0.09299194329902176,1.5,1.3246527968508377,10023.182904032703,-5628.950167919322
8,0.3,0.1,0.1022397634219388,0.1,0.1015105730971335,1.5,1.363205196535771,9973.599491822168,-5780.865584890963
9,0.3,0.1,0.10079876263749803,0.1,0.09811839052739123,1.5,1.3461593932498241,9956.307457269993,-5730.794863835906
10,0.3,0.1,0.0915206392418523,0.1,0.08597288553320656,1.5,1.2388643732554787,10112.102948640772,-5684.545027675096
11,0.3,0.1,0.11144051166341562,0.1,0.11300526107876706,1.5,1.2859696541209293,9910.615069035499,-5639.395662431298
12,0.3,0.1,0.09668173216853448,0.1,0.09323212617124961,1.5,1.32209867198403,9993.899486707027,-5718.583630589446
13,0.3,0.1,0.10264895017950486,0.1,0.0996592097492307,1.5,1.3236937909324156,9953.77799276653,-5647.116903723754
14,0.3,0.1,0.09696903029928233,0.1,0.09289432130608426,1.5,1.251399786177879,10083.09712677918,-5691.25318382903
15,0.3,0.1,0.10129640229097911,0.1,0.10072893544423193,1.5,1.2882769866559305,9917.390045622727,-5655.861549307389
16,0.3,0.1,0.09801407464284932,0.1,0.09277631350422615,1.5,1.2949392795072843,9990.345822019404,-7389.8880261817
17,0.3,0.1,0.09549211285176731,0.1,0.09494748571547008,1.5,1.4850849066909801,9988.74610144501,-5655.305864764596
18,0.3,0.1,0.10001609366638281,0.1,0.09678693953553605,1.5,1.287253723968895,9937.623399616159,-5638.6790801307725
19,0.3,0.1,0.09970234000946036,0.1,0.1008058286710991,1.5,1.4752904442085204,10039.631440911902,-5731.872019079032
20,0.3,0.1,0.10249688546861159,0.1,0.09945660596561133,1.5,1.4317068456338684,9904.425118387588,-5716.285745133673
1,0.3,0.1,0.0946016907213467,0.2,0.19102438436820435,0.5,0.42717323368209326,10075.30644951954,-4759.901501860794
2,0.3,0.1,0.10297196058136994,0.2,0.2086781431940825,0.5,0.4217319892635864,10009.259686552807,-4771.399974270716
3,0.3,0.1,0.10176955554165262,0.2,0.19783341455138423,0.5,0.4265151191527531,9988.230332312334,-4703.808442792713
4,0.3,0.1,0.09514118941883352,0.2,0.19031463486835837,0.5,0.4783553233881262,9984.897045403406,-4743.271933578017
5,0.3,0.1,0.09606815360861891,0.2,0.1910539702768763,0.5,0.4890316226457536,10145.290794402732,-4684.174976621132
6,0.3,0.1,0.10193502432763542,0.2,0.18898886117523053,0.5,0.43494822143611084,9970.403656320123,-4663.023846828401
7,0.3,0.1,0.09706239394395849,0.2,0.19954445990369263,0.5,0.4630873401321569,10093.524792304182,-4701.139744887729
8,0.3,0.1,0.09979194210318178,0.2,0.1928667531613929,0.5,0.3768327567566212,9975.212334296775,-4714.637175203134
9,0.3,0.1,0.1031865297326441,0.2,0.20346115408714807,0.5,0.42639793916005847,10004.655716412437,-4664.140489780872
10,0.3,0.1,0.09856348611947142,0.2,0.1917108668190323,0.5,0.41144623120345963,9964.549131943113,-4621.317852440896
11,0.3,0.1,0.09806805411149162,0.2,0.19259645999884217,0.5,0.4560115681904869,10028.153149237052,-4697.648568054023
12,0.3,0.1,0.10455920240078474,0.2,0.20664304565727112,0.5,0.4245136334291351,9883.91654587651,-4709.0316589316035
13,0.3,0.1,0.10119610281538784,0.2,0.20193578875233037,0.5,0.4484841631345314,10020.748148747976,-5357.929460966418
14,0.3,0.1,0.09824031849146653,0.2,0.19277662196702777,0.5,0.430142782616277,9979.888545021222,-4793.048249045574
15,0.3,0.1,0.10773795697486699,0.2,0.2082956344238634,0.5,0.4035075214196308,9956.454032279755,-6101.487896739639
16,0.3,0.1,0.10107316692592426,0.2,0.1969836222278511,0.5,0.41830116016813335,9970.942301812587,-4663.633624077605
17,0.3,0.1,0.09943242104351406,0.2,0.19296984849269988,0.5,0.43148123017770484,9997.72245191478,-5726.023286028139
18,0.3,0.1,0.10153296678076715,0.2,0.20017295830541504,0.5,0.42200338966261286,9918.87816220497,-4712.8076666769075
19,0.3,0.1,0.09836698565450883,0.2,0.19631130303675665,0.5,0.4746829446963964,10025.521322303171,-5092.744175076374
20,0.3,0.1,0.09828477661230337,0.2,0.1942689718838749,0.5,0.5123497550679567,10098.472429662039,-4657.67261523824
1,0.3,0.1,0.10026835008247338,0.2,0.21274341373378525,1.0,0.9521187033638898,9961.377689664527,-5080.664846481602
2,0.3,0.1,0.09725032857535658,0.2,0.19050514354980452,1.0,1.0558299924596015,10057.350662455287,-5188.544533414288
3,0.3,0.1,0.10368367572995559,0.2,0.18724879143696527,1.0,0.838087395340788,9975.383939408963,-5090.319108384288
4,0.3,0.1,0.10047681314165133,0.2,0.1970194586255925,1.0,0.9415703100313975,10008.073850470913,-5013.906156195004
5,0.3,0.1,0.09883565234935879,0.2,0.19674379986829965,1.0,0.9603445274480709,9961.051238179267,-5039.862907711207
6,0.3,0.1,0.09863565420381784,0.2,0.20155688831565266,1.0,0.928133995427046,9953.307044597264,-6059.1296503320755
7,0.3,0.1,0.09681668193478964,0.2,0.18976083447661765,1.0,0.9236696521724549,10041.54665565901,-5669.478331282982
8,0.3,0.1,0.09994229748641514,0.2,0.1908682921496639,1.0,0.8918019299171696,9954.96124849895,-5053.480089706214
9,0.3,0.1,0.09848989566281212,0.2,0.21009063804030156,1.0,0.9923605850924935,9975.217755756146,-5216.667932226566
10,0.3,0.1,0.10415211542152936,0.2,0.20139983341102333,1.0,0.8750269971456967,9886.165539756708,-5182.409922782649
11,0.3,0.1,0.09538472069511708,0.2,0.18998080577246493,1.0,0.9179867960966683,10058.466316149947,-5109.135067910589
12,0.3,0.1,0.09639452493030451,0.2,0.19372140445438113,1.0,0.9579521547497175,9994.579598975757,-5060.030098857804
13,0.3,0.1,0.09605677318349269,0.2,0.19084601947173974,1.0,1.042094629466564,10076.01958828337,-4947.0935029783395
14,0.3,0.1,0.09470973595041918,0.2,0.1892725862386207,1.0,1.046541494179822,10040.436323891052,-4987.657372941501
15,0.3,0.1,0.09402189446843387,0.2,0.1843572005030191,1.0,0.9454409673211803,9994.504218864788,-5148.372099759383
