Sim,F_true,F_est,Nu0_true,Nu0_est,T_true,T_est,Theta,Loglik
1,0.5,0.1233498974512229,0.1,0.09596703691954811,0.1,0.0998503202274916,10239.330316969897,-214.45480345093324
2,0.5,0.04642900378794748,0.1,0.10622779282478059,0.1,0.10049404797746739,9925.435776871698,-217.1596019839958
3,0.5,0.07389861208459982,0.1,0.09550310359484687,0.1,0.09952376533983508,10186.696323944358,-218.4113906555433
4,0.5,0.15057798495347885,0.1,0.10778340051562729,0.1,0.10758927772029118,10025.630429387216,-226.2228191379827
5,0.5,0.07980968667345942,0.1,0.09869129187795775,0.1,0.10424089563866343,10164.306859560047,-218.65392228240637
6,0.5,0.102167633701616,0.1,0.11491668229897287,0.1,0.10595651704448755,9878.784079197043,-221.25601773453877
7,0.5,0.12101204203106403,0.1,0.10093328514245545,0.1,0.10409940092763467,10182.659646738108,-222.44897362507413
8,0.5,0.094507835405903,0.1,0.10145847791408397,0.1,0.10848305211079576,10215.233946308734,-211.99581075821038
9,0.5,0.04571556816842082,0.1,0.10019713477997474,0.1,0.1118016264999874,10314.617331281941,-213.9670484029266
10,0.5,0.07510606185856585,0.1,0.11054822894132521,0.1,0.0943972875681063,9743.878190784346,-215.67167364585316
11,0.5,0.13882328829877627,0.1,0.09707492816580503,0.1,0.10280959787821155,10262.270221132716,-223.44197020949866
12,0.5,0.09030686869400094,0.1,0.09572246522273513,0.1,0.09974626487776357,10195.379515539556,-223.07035354123582
13,0.5,0.14010620450721092,0.1,0.11143777446735754,0.1,0.11425244966342442,10085.668239623988,-219.75869350846938
14,0.5,0.09132371096857474,0.1,0.10407650336288726,0.1,0.1075151969532421,10062.042445144914,-215.8640449696877
15,0.5,0.11943872030208876,0.1,0.12089059986652625,0.1,0.11658662578342549,9914.684607430547,-218.83237133136538
16,0.5,0.07128293666152463,0.1,0.10293929305980919,0.1,0.10201699345893583,10035.915456773591,-217.3606431911112
17,0.5,0.12483627631143639,0.1,0.09001788144489589,0.1,0.10508647652856944,10606.968700472667,-222.9802743540921
18,0.5,0.1066697826107265,0.1,0.11164805315851158,0.1,0.11005921963273718,9989.873797795806,-222.95398327936277
19,0.5,0.12329557319114488,0.1,0.1132901835972034,0.1,0.11039131691259553,9927.235617338116,-215.4404985970923
20,0.5,0.07755065512468154,0.1,0.10302126947828924,0.1,0.10070374522119953,10050.803619260496,-219.53012913030204
1,0.5,0.04692198044531982,0.1,0.08460314619825149,0.2,0.17367675091942128,10367.121788444929,-220.43126420938984
2,0.5,0.04640278896985236,0.1,0.10356045101170838,0.2,0.19923377834626624,9995.513992523911,-207.15007965765528
3,0.5,0.05275935488446214,0.1,0.10641320299475873,0.2,0.2003117284751835,9819.432990763305,-216.4987353822246
4,0.5,0.061014749464746554,0.1,0.11808493554825156,0.2,0.21072824035806362,9680.070155248437,-222.59426626596928
5,0.5,0.09626286702183133,0.1,0.08560875827631914,0.2,0.19746569113385698,10627.85721401459,-216.3761852890334
